,participant,cost,likelihood
925,62,cost_100,100.0
926,62,cost_200,50.0
927,62,cost_400,40.0
928,62,cost_500,40.0
929,62,cost_600,40.0
930,62,cost_700,40.0
931,62,cost_800,30.0
932,62,cost_900,30.0
933,62,cost_1000,30.0
934,62,cost_1100,30.0
935,62,cost_1200,31.0
936,62,cost_1300,30.0
937,62,cost_1400,20.0
938,62,cost_1500,20.0
939,62,cost_1600,20.0
940,62,cost_1700,20.0
941,62,cost_1800,20.0
942,62,cost_1900,20.0
943,62,cost_2000,20.0
944,62,cost_2100,20.0
945,62,cost_2200,20.0
946,62,cost_2300,20.0
947,62,cost_2400,20.0
948,62,cost_2500,10.0
949,62,cost_2600,10.0
950,62,cost_2700,10.0
951,62,cost_2800,9.0
952,62,cost_2900,10.0
953,62,cost_3000,9.0
954,63,cost_0,100.0
955,63,cost_25,100.0
956,63,cost_50,100.0
957,63,cost_100,100.0
958,63,cost_200,100.0
959,63,cost_300,90.0
960,63,cost_400,70.0
961,63,cost_500,61.0
962,63,cost_600,49.0
963,63,cost_700,30.0
964,63,cost_800,21.0
965,63,cost_900,21.0
966,63,cost_1000,0.0
967,64,cost_0,100.0
968,64,cost_25,100.0
969,64,cost_50,100.0
970,64,cost_100,100.0
971,64,cost_200,100.0
972,64,cost_300,100.0
973,64,cost_400,100.0
974,64,cost_500,70.0
975,64,cost_600,60.0
976,64,cost_700,50.0
977,64,cost_1500,35.0
978,64,cost_1600,35.0
979,64,cost_1700,35.0
980,64,cost_1800,35.0
981,64,cost_1900,30.0
982,64,cost_2000,10.0
983,64,cost_2100,0.0
984,65,cost_0,100.0
985,65,cost_25,100.0
986,65,cost_50,100.0
987,65,cost_100,100.0
988,65,cost_200,100.0
989,65,cost_300,80.0
990,65,cost_400,60.0
991,65,cost_600,25.0
992,65,cost_700,10.0
993,65,cost_800,9.0
994,65,cost_900,5.0
995,65,cost_1000,0.0
996,66,cost_0,100.0
997,66,cost_25,100.0
998,66,cost_50,100.0
999,66,cost_100,100.0
1000,66,cost_200,95.0
1001,66,cost_300,93.0
1002,66,cost_400,82.0
1003,66,cost_500,81.0
1004,66,cost_600,67.0
1005,66,cost_800,39.0
1006,66,cost_900,28.0
1007,66,cost_1000,16.0
1008,66,cost_1100,12.0
1009,66,cost_1200,12.0
1010,66,cost_1300,6.0
1011,66,cost_1400,0.0
1012,67,cost_0,100.0
1013,67,cost_25,100.0
1014,67,cost_50,100.0
1015,67,cost_100,100.0
1016,67,cost_200,100.0
1017,67,cost_300,75.0
1018,67,cost_400,60.0
1019,67,cost_500,40.0
1020,67,cost_600,20.0
1021,67,cost_700,0.0
1022,68,cost_0,100.0
1023,68,cost_25,100.0
1024,68,cost_50,100.0
1025,68,cost_100,100.0
1026,68,cost_200,75.0
1027,68,cost_300,50.0
1028,68,cost_400,50.0
1029,68,cost_500,25.0
1030,68,cost_600,0.0
1031,69,cost_0,100.0
1032,69,cost_25,100.0
1033,69,cost_50,100.0
1034,69,cost_100,100.0
1035,69,cost_200,100.0
1036,69,cost_300,67.0
1037,69,cost_400,56.0
